Company Name,Year,Equity Share Capital,Reserves And Surplus,Total Shareholders Funds,Total Non-Current Liabilities,Total Current Liabilities,Total Capital And Liabilities,Total Revenue,Total Expenses,Profit/Loss Before Tax,Current Tax,Profit/Loss For The Period,Basic Eps (Rs.),Equity Share Dividend,Pbdit Margin (%),Net Profit Margin (%),Return On Networth/Equity (%),Return On Capital Employed (%),Total Debt/Equity (X),Current Ratio (X),Dividend Payout Ratio (Np) (%),Earnings Retention Ratio (%),Score,Comment
SRF Ltd.,Mar 19,58.5,4070.77,4129.27,2559.95,3198.68,9887.9,3172.29,9887.9,7692.69,7732.83,201.6,366.87,6905.94,826.89,148.24,641.63,112.0,68.98,18.14,8.3,15.54,15.38,1.39,0.99,10.75,89.25,400,"ROE Score : 100
 ROTC Score: 100
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: -100
 Debt to NetProfit : 3.9897604538441156 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 400"
SRF Ltd.,Mar 18,58.44,3506.1,3564.54,2266.27,2532.2,8363.01,2450.14,8363.01,5589.04,5704.16,123.89,315.8,5122.49,581.67,107.06,461.71,80.0,68.9,18.27,8.09,12.95,12.1,1.35,0.97,14.92,85.08,300,"ROE Score : 50
 ROTC Score: 50
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: -100
 Debt to NetProfit : 4.908427367828291 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 300"
SRF Ltd.,Mar 17,58.44,3124.22,3182.66,1778.08,2010.19,6970.93,2079.44,6970.93,4821.8,4894.81,101.77,283.44,4237.62,657.19,116.49,514.99,90.0,68.9,21.62,10.52,16.18,15.3,1.19,1.03,13.38,86.62,650,"ROE Score : 100
 ROTC Score: 100
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 3.45264956601099 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 650"
SRF Ltd.,Mar 16,58.44,2704.54,2762.98,2369.47,1421.19,6553.64,1983.65,6553.64,4592.72,4620.56,130.46,274.96,4035.62,584.94,107.51,429.89,75.0,57.42,21.56,9.3,15.56,13.94,1.37,1.4,13.36,86.64,550,"ROE Score : 100
 ROTC Score: 50
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 5.511805345553514 and Score: 100
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 550"
SRF Ltd.,Mar 15,58.44,2208.7,2296.34,2264.28,1393.34,5953.96,1716.32,5953.96,4539.85,4604.43,137.58,245.03,4205.0,399.43,82.5,302.81,53.0,57.42,17.23,6.58,13.19,11.77,1.59,1.23,18.96,81.04,350,"ROE Score : 50
 ROTC Score: 0
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 7.477560186255408 and Score: 100
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 350"
GE T&D India Ltd.,Dec 10,47.82,954.09,1002.37,60.97,3404.61,4467.95,3574.01,4467.95,4032.01,4036.1,65.67,93.6,3754.48,281.62,81.06,186.74,39.0,43.04,10.93,4.63,18.63,32.66,3.46,1.05,23.05,76.95,600,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 0.326496733426154 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 0
 TOTAL SCORE: 600"
Zensar Technologies Ltd.,Mar 20,45.08,2044.91,2089.99,442.46,1039.4,3595.55,2057.62,3595.55,4181.68,4270.1,60.51,159.18,3894.31,375.79,104.19,271.6,12.0,0.0,14.24,6.36,13.0,17.07,0.71,1.98,0.0,100.0,450,"ROE Score : 50
 ROTC Score: 100
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.629086892488954 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 450"
Zensar Technologies Ltd.,Mar 19,45.04,1897.32,1942.36,179.71,950.69,3089.72,1938.16,3089.72,3966.33,4059.01,37.29,89.44,3613.63,445.38,140.45,318.65,14.0,63.05,14.42,7.85,16.41,22.56,0.58,2.04,19.79,80.21,650,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.5639730111407502 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 650"
Zensar Technologies Ltd.,Mar 18,44.99,1623.91,1668.9,83.8,530.07,2296.42,1463.31,2296.42,3107.74,3182.13,22.67,65.08,2830.56,351.57,111.42,246.49,11.0,53.98,14.14,7.75,14.77,21.19,0.37,2.76,21.9,78.1,600,"ROE Score : 50
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.339973224065885 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 600"
Zensar Technologies Ltd.,Mar 17,44.87,1426.69,1471.56,47.13,579.58,2105.68,1466.5,2105.68,3055.59,3079.65,8.77,48.55,2731.03,348.62,105.06,238.37,53.0,26.1,13.29,7.74,16.2,23.42,0.43,2.53,10.95,89.05,650,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.19771783362000253 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 650"
Zensar Technologies Ltd.,Mar 16,44.63,1220.48,1265.11,49.41,550.53,1868.97,1386.09,1868.97,2951.87,3005.71,10.66,65.1,2588.84,416.87,116.97,292.3,65.0,96.92,16.69,9.72,23.1,32.43,0.47,2.52,33.16,66.84,750,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.16903865891207662 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 750"
Jyothy Labs Ltd.,Mar 19,36.72,1289.81,1326.53,42.27,594.94,1942.28,621.81,1942.28,1813.58,1841.33,35.22,30.57,1598.3,243.03,47.36,197.6,6.0,18.18,17.03,10.73,14.9,20.65,0.48,1.05,9.2,90.8,600,"ROE Score : 50
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.21391700404858302 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 600"
Jyothy Labs Ltd.,Mar 18,18.18,1094.03,1144.21,37.86,810.84,1978.95,662.77,1978.95,1672.38,1734.85,48.07,31.13,1494.11,240.73,42.31,178.87,5.0,109.01,19.13,10.31,15.63,24.72,0.74,0.82,60.94,39.06,450,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: -100
 Debt to NetProfit : 0.21166210096718285 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 450"
Jyothy Labs Ltd.,Mar 17,18.17,1070.84,1089.01,28.49,742.25,1853.1,481.11,1853.1,1682.99,1693.67,56.47,30.06,1515.02,178.65,34.35,204.15,11.0,18.11,15.76,12.05,18.75,21.17,0.71,0.65,8.87,91.13,500,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 100
 Current Ratio score: -100
 Debt to NetProfit : 0.13955424932647562 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 500"
Jyothy Labs Ltd.,Mar 16,18.11,883.37,901.48,65.97,804.78,1769.57,456.11,1769.57,1592.75,1607.07,61.84,31.4,1463.96,143.11,43.05,73.82,4.0,144.86,14.84,4.59,8.19,21.24,0.97,0.57,196.23,-96.23,300,"ROE Score : 0
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : 0.8936602546735303 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 300"
Jyothy Labs Ltd.,Mar 15,18.1,761.56,779.66,624.85,410.78,1816.72,546.04,1816.72,1514.84,1520.46,9.47,32.55,1393.84,124.53,30.87,120.98,7.0,72.41,10.99,7.96,15.52,9.53,1.33,1.33,59.85,40.15,350,"ROE Score : 100
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 5.164903289799967 and Score: 100
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 350"
NOCIL Ltd.,Mar 19,165.42,993.37,1163.01,124.44,154.82,1442.27,583.81,1442.27,1042.9,1052.86,0.63,24.31,775.12,277.74,84.3,184.85,11.0,49.75,29.02,17.56,15.89,21.62,0.24,3.77,26.91,73.09,850,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.6731944820124425 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 850"
NOCIL Ltd.,Mar 18,164.48,882.19,1046.67,120.02,181.0,1347.69,689.75,1347.69,967.64,982.19,1.22,24.03,727.49,254.7,86.03,169.93,10.0,35.57,28.93,17.3,16.24,21.94,0.29,3.81,20.93,79.07,850,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.7062908256340845 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 850"
NOCIL Ltd.,Mar 17,163.58,749.55,913.13,128.32,119.49,1160.94,417.06,1160.94,742.21,751.73,2.22,19.73,604.95,146.78,47.43,97.11,6.0,23.28,22.73,12.92,10.63,14.31,0.27,3.49,23.97,76.03,600,"ROE Score : 0
 ROTC Score: 50
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 1.3213881165688395 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
NOCIL Ltd.,Mar 16,160.79,309.21,470.0,81.6,130.22,681.82,313.88,681.82,715.21,718.74,9.34,14.63,599.8,118.94,35.94,78.26,5.0,19.29,19.98,10.89,16.65,23.26,0.45,2.41,24.65,75.35,700,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 1.0426782519805775 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 700"
NOCIL Ltd.,Mar 15,160.79,254.17,414.96,106.96,233.14,755.06,380.27,755.06,719.0,722.97,16.51,14.5,636.74,86.24,25.46,57.1,4.0,16.08,16.31,7.9,13.76,19.69,0.82,1.63,28.16,71.84,600,"ROE Score : 50
 ROTC Score: 100
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 1.8732049036777583 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
National Aluminium Company Ltd.,Mar 19,932.81,9552.13,10484.94,1757.33,2905.12,15147.39,5600.7,15147.39,11499.32,11825.19,2.38,476.1,9085.27,2739.92,1024.65,1732.4,9.0,839.53,27.99,14.65,16.52,22.4,0.44,1.93,48.46,51.54,900,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 1.0143904410066957 and Score: 150
 Share Count Reduction Check score : 100
 Business Growth score: 100
 TOTAL SCORE: 900"
National Aluminium Company Ltd.,Mar 18,966.46,9537.49,10503.95,1668.06,2440.93,14612.94,5613.9,14612.94,9509.45,9809.1,1.95,480.4,8594.35,2038.83,793.18,1342.41,7.0,908.48,26.51,13.69,12.78,16.77,0.39,2.3,67.68,32.32,800,"ROE Score : 50
 ROTC Score: 100
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 1.2425860951572172 and Score: 150
 Share Count Reduction Check score : 100
 Business Growth score: 100
 TOTAL SCORE: 800"
National Aluminium Company Ltd.,Mar 17,966.46,9238.69,10205.15,1643.93,2651.93,14501.01,5655.79,14501.01,7543.04,7951.31,2.69,480.36,6946.44,964.72,219.52,668.53,3.0,541.22,19.19,8.41,6.55,8.16,0.42,2.13,80.96,19.04,550,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 2.4590220334166006 and Score: 150
 Share Count Reduction Check score : 100
 Business Growth score: 100
 TOTAL SCORE: 550"
National Aluminium Company Ltd.,Mar 16,1288.62,11906.3,13194.92,1533.49,1981.95,16710.36,7343.65,16710.36,6816.96,7422.09,3.27,426.12,6286.89,1188.65,375.6,787.11,3.0,322.16,23.74,10.6,5.97,8.09,0.27,3.71,40.93,59.07,600,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 100
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 1.9482537383593144 and Score: 150
 Share Count Reduction Check score : 100
 Business Growth score: 100
 TOTAL SCORE: 600"
National Aluminium Company Ltd.,Mar 15,1288.62,11508.8,12797.42,1413.33,1967.05,16177.8,7713.04,16177.8,7382.81,8055.53,0.0,413.66,6090.46,2113.49,520.65,1321.9,5.0,451.02,34.23,16.41,10.33,14.87,0.26,3.92,34.12,65.88,750,"ROE Score : 0
 ROTC Score: 50
 Operation Margin score: 150
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 1.069165594976927 and Score: 150
 Share Count Reduction Check score : 100
 Business Growth score: 100
 TOTAL SCORE: 750"
eClerx Services Ltd.,Mar 19,37.79,1343.07,1380.86,67.4,147.91,1597.19,1163.99,1597.19,1430.59,1479.19,0.04,44.69,1167.71,311.47,92.84,228.3,60.0,4.59,24.9,15.43,16.53,21.49,0.16,7.87,2.01,97.99,750,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 100
 Net Profit Margin Score: 100
 Current Ratio score: 100
 Debt to NetProfit : 0.2952255803766973 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 750"
eClerx Services Ltd.,Mar 18,38.14,1166.41,1204.55,63.0,162.75,1431.02,1037.46,1431.02,1365.06,1405.29,0.04,48.24,1047.03,379.52,101.64,289.94,73.0,3.97,31.34,20.63,24.07,29.93,0.19,6.37,1.37,98.63,950,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 150
 Net Profit Margin Score: 150
 Current Ratio score: 100
 Debt to NetProfit : 0.2172863351038146 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 950"
eClerx Services Ltd.,Mar 17,39.71,1186.21,1225.92,46.3,136.15,1398.24,1012.11,1398.24,1330.03,1358.23,0.03,51.8,922.4,435.83,101.39,353.93,87.0,4.08,36.67,26.06,28.87,34.53,0.15,7.43,1.15,98.85,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 150
 Net Profit Margin Score: 200
 Current Ratio score: 100
 Debt to NetProfit : 0.13081682818636453 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 1050"
eClerx Services Ltd.,Mar 16,40.79,1051.8,1092.59,55.12,140.73,1289.18,874.13,1289.18,1314.32,1351.26,0.04,56.54,891.02,460.24,107.49,341.74,84.0,106.54,39.32,25.29,31.28,40.08,0.18,6.21,31.18,68.82,1050,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 150
 Net Profit Margin Score: 200
 Current Ratio score: 100
 Debt to NetProfit : 0.1612922104523907 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 1050"
eClerx Services Ltd.,Mar 15,30.35,684.52,714.87,23.27,220.9,959.17,718.99,959.17,942.12,974.47,0.0,50.02,676.54,297.93,71.18,229.68,76.0,106.23,36.93,23.57,32.13,40.36,0.34,3.25,46.25,53.75,1000,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 150
 Net Profit Margin Score: 150
 Current Ratio score: 100
 Debt to NetProfit : 0.101314872866597 and Score: 200
 Share Count Reduction Check score : -100
 Business Growth score: 100
 TOTAL SCORE: 1000"
APL Apollo Tubes Ltd.,Mar 19,23.85,940.21,964.06,352.84,1456.98,2773.88,1488.98,2773.88,7152.32,7164.03,113.35,64.26,6937.09,226.94,64.81,148.25,62.0,33.22,5.66,2.07,15.38,25.84,1.88,1.02,22.41,77.59,600,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 2.380033726812816 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 600"
APL Apollo Tubes Ltd.,Mar 18,23.73,814.12,837.85,215.01,1128.32,2181.18,1138.41,2181.18,5334.77,5342.78,81.3,53.41,5098.44,244.34,71.11,158.13,67.0,28.31,7.11,2.96,18.87,30.93,1.6,1.01,17.9,82.1,600,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.3597040409789414 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 600"
APL Apollo Tubes Ltd.,Mar 17,23.59,679.77,703.36,197.94,943.28,1844.58,917.81,1844.58,3923.9,3929.87,72.03,50.9,3713.86,216.01,65.6,152.11,65.0,23.44,8.64,3.87,21.63,31.96,1.62,0.97,15.41,84.59,450,"ROE Score : 150
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: -100
 Debt to NetProfit : 1.3012951153770296 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 450"
APL Apollo Tubes Ltd.,Mar 16,23.44,544.11,567.55,279.6,812.99,1660.14,889.55,1660.14,4213.59,4223.86,69.51,34.1,4035.54,162.99,49.7,100.57,43.0,23.44,6.33,2.38,17.72,27.44,1.93,1.09,23.31,76.69,600,"ROE Score : 100
 ROTC Score: 200
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 2.7801531271751023 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 600"
APL Apollo Tubes Ltd.,Mar 15,23.44,448.66,472.09,219.21,598.73,1290.04,607.2,1290.04,3013.78,3016.78,66.45,22.01,2919.05,97.67,22.4,63.76,27.0,14.06,6.18,2.11,13.51,23.74,1.73,1.01,22.05,77.95,500,"ROE Score : 50
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 3.4380489335006277 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 150
 TOTAL SCORE: 500"
Apollo Hospitals Enterprises Ltd.,Mar 19,69.56,3253.34,3333.47,3758.77,1955.38,9183.07,2281.73,9183.07,9617.44,9648.88,327.02,395.53,9276.32,372.56,125.88,199.19,17.0,69.56,11.39,2.06,5.98,9.68,1.71,1.17,34.92,65.08,150,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 18.870274612179326 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 50
 TOTAL SCORE: 150"
Apollo Hospitals Enterprises Ltd.,Mar 18,69.56,3172.29,3251.51,3661.62,1567.23,8612.79,2220.13,8612.79,8243.47,8275.62,295.07,359.03,8104.39,171.24,88.37,59.33,8.0,69.56,10.01,0.72,1.82,6.62,1.61,1.42,117.24,-17.24,150,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 61.716163829428616 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 50
 TOTAL SCORE: 150"
Apollo Hospitals Enterprises Ltd.,Mar 17,69.56,3240.19,3313.2,3718.15,963.36,8119.29,2129.22,8119.29,7255.7,7278.2,257.35,314.04,7098.51,179.69,83.58,88.73,16.0,4.38,10.35,1.22,2.68,6.11,1.41,2.21,4.94,95.06,150,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 41.90409106277471 and Score: 0
 Share Count Reduction Check score : 0
 Business Growth score: 50
 TOTAL SCORE: 150"
Apollo Hospitals Enterprises Ltd.,Mar 16,69.56,3261.47,3331.03,2700.91,1249.83,7359.8,1974.57,7359.8,6214.65,6259.68,180.02,263.83,5970.73,304.89,102.04,207.99,17.0,200.68,12.05,3.32,6.24,7.94,1.19,1.58,96.49,3.51,250,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 12.985768546564737 and Score: 50
 Share Count Reduction Check score : 0
 Business Growth score: 50
 TOTAL SCORE: 250"
Apollo Hospitals Enterprises Ltd.,Mar 15,69.56,3100.63,3170.19,2158.77,1076.33,6479.44,1938.88,6479.44,5178.45,5215.21,117.85,211.65,4773.29,427.23,100.57,325.41,24.0,80.0,14.61,6.24,10.26,10.09,1.02,1.8,24.58,75.42,300,"ROE Score : 0
 ROTC Score: 0
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 6.634000184382778 and Score: 100
 Share Count Reduction Check score : 0
 Business Growth score: 50
 TOTAL SCORE: 300"
Century Plyboards Ltd.,Mar 19,22.25,952.67,974.92,136.14,675.47,1811.84,852.62,1811.84,2280.39,2287.54,46.94,59.48,2085.21,202.33,46.64,148.87,7.0,22.22,13.54,6.51,15.27,21.94,0.83,1.26,14.93,85.07,700,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 0.9144891516087861 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 700"
Century Plyboards Ltd.,Mar 18,22.25,829.3,851.55,175.45,680.03,1725.43,845.76,1725.43,2023.94,2031.82,35.83,90.66,1819.39,212.43,45.23,166.14,7.0,22.22,16.75,8.18,19.51,23.75,1.0,1.24,13.37,86.63,700,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 1.0560370771638377 and Score: 150
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 700"
Century Plyboards Ltd.,Mar 17,22.25,692.65,714.91,159.13,698.87,1584.89,870.27,1584.89,1818.73,1841.28,30.21,59.34,1596.31,244.98,52.72,193.48,9.0,0.0,18.39,10.51,27.06,31.06,1.2,1.25,0.0,100.0,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.8224622700020674 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 900"
Century Plyboards Ltd.,Mar 16,22.25,506.58,528.84,65.32,572.01,1175.19,711.19,1175.19,1640.93,1646.93,47.88,47.46,1446.8,200.13,43.09,169.75,8.0,49.99,18.01,10.31,32.1,41.12,1.21,1.24,29.45,70.55,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.38480117820324 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 900"
Century Plyboards Ltd.,Mar 15,22.25,365.57,389.39,85.0,587.62,1067.52,716.79,1067.52,1588.44,1606.17,45.57,48.47,1426.61,179.56,39.09,149.96,7.0,44.43,17.22,9.34,38.51,46.91,1.73,1.22,29.63,70.37,900,"ROE Score : 200
 ROTC Score: 200
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.5668178180848226 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 900"
Minda Corporation Ltd.,Mar 19,45.3,1141.3,1190.4,185.6,1071.1,2451.8,1449.3,2451.8,3092.0,3127.5,49.0,88.3,2936.9,208.1,68.6,141.2,8.0,13.3,11.17,4.51,11.86,18.62,1.06,1.35,9.42,90.58,450,"ROE Score : 0
 ROTC Score: 100
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.3144475920679888 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 450"
Minda Corporation Ltd.,Mar 18,41.6,692.3,736.0,316.3,1002.2,2059.2,1128.7,2059.2,2593.5,2609.8,37.1,73.8,2431.5,178.3,45.7,129.6,7.0,11.2,11.15,4.97,17.61,20.38,1.79,1.13,8.64,91.36,600,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 2.4405864197530867 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
Minda Corporation Ltd.,Mar 17,41.6,580.5,622.1,218.6,714.5,1555.2,783.9,1555.2,2059.8,2100.3,26.9,57.7,1955.7,144.6,34.9,115.8,5.0,10.2,11.13,5.51,18.61,20.4,1.5,1.1,8.81,91.19,600,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.8877374784110534 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
Minda Corporation Ltd.,Mar 16,41.6,505.99,567.35,177.3,962.42,1770.75,1006.55,1770.75,2445.52,2462.81,33.38,74.46,2330.0,146.54,38.64,109.97,5.0,10.39,10.4,4.47,19.38,22.26,2.01,1.05,9.45,90.55,600,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 1.6122578885150496 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
Minda Corporation Ltd.,Mar 15,41.46,405.32,466.56,207.54,723.34,1421.58,786.39,1421.58,1970.64,1993.3,39.46,60.26,1884.81,110.87,29.57,83.72,4.0,8.37,10.69,4.2,17.94,21.53,2.0,1.09,10.0,90.0,600,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 0
 Net Profit Margin Score: 0
 Current Ratio score: 100
 Debt to NetProfit : 2.4789775441949353 and Score: 150
 Share Count Reduction Check score : -100
 Business Growth score: 200
 TOTAL SCORE: 600"
Greaves Cotton Ltd.,Mar 19,48.84,920.28,969.12,47.18,425.66,1455.67,756.2,1455.67,2015.32,2057.12,4.04,52.17,1799.33,239.92,90.25,162.63,7.0,161.92,14.69,7.91,16.78,23.69,0.49,1.78,99.56,0.44,750,"ROE Score : 100
 ROTC Score: 150
 Operation Margin score: 50
 Net Profit Margin Score: 50
 Current Ratio score: 100
 Debt to NetProfit : 0.2901063764373117 and Score: 200
 Share Count Reduction Check score : 0
 Business Growth score: 100
 TOTAL SCORE: 750"
